,Student Number,Start Time,Submit Time,Status,Q1,Q2,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q4.8,Q4.9,Q4.10,Q4.11,Q5,Q6,Q7
11,12,2022-08-09 15:43:02.447,2022-08-09 16:13:38.603,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,"True, I am confident","False, I am confident",False but I am not sure,True but I am not sure,"False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","True, I am confident","False, I am confident",It is an analytical method used to determine the concentration of a solute using suitable standards for comparison.,It is an analytical method used to determine the reduction/oxidation potentials and current flow properties of an unknown solute with the introduction of a current from an electrical source.,Hope to learn lots about electrochemistry as well as other techniques in this module! =)
12,13,2022-08-09 21:27:00.837,2022-08-09 21:33:25.783,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,True but I am not sure,I have no idea,False but I am not sure,I have no idea,False but I am not sure,False but I am not sure,I have no idea,"True, I am confident","False, I am confident",I have no idea,True but I am not sure,Potentiometry is used to find concentration of an unkown through a reading obtained from a chemical reaction.,Violtammetry is used to show reaction kinetics.,Nil
13,14,2022-08-10 10:30:18.700,2022-08-10 10:45:01.563,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,True but I am not sure,False but I am not sure,False but I am not sure,True but I am not sure,"True, I am confident",True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident",True but I am not sure,False but I am not sure,A technique used to measure the potential between the electrodes of an electrolytic set-up.,A technique used to measure the current of an electrolytic set-up when potential is varied.,N.A.
14,15,2022-08-12 13:59:47.680,2022-08-12 14:03:31.627,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,I have no idea,I have no idea,I have no idea,I have no idea,False but I am not sure,I have no idea,I have no idea,True but I am not sure,I have no idea,I have no idea,True but I am not sure,It's basically magic to me.,It's magic but in different words.,I have shaky and questionable foundations in electrochemistry but somehow I managed to survive until my third year in university.
15,16,2022-08-10 10:44:00.707,2022-08-10 10:52:17.933,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,False but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,False but I am not sure,I have no idea,False but I am not sure,True but I am not sure,I have no idea,I have no idea,"True, I am confident",Potentiometry is scary. ,I am not sure what's the difference between Voltammetry and Potentiometry. ,I hope to learn and gain more confidence in electrochemistry after taking CM3242. 
16,17,2022-08-09 22:17:40.067,2022-08-10 13:35:25.620,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,True but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident",I have no idea,"False, I am confident",Usage of potential difference between electrodes to analyze the concentration of a solute by comparing it to the potential of a known concentration of the same solute.,Usage of an applied voltage to study the properties or reactions of the solutes within the solution such as redox reactions.,"Nil
"
17,18,2022-08-12 09:40:38.377,2022-08-12 09:48:14.003,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,True but I am not sure,"False, I am confident",True but I am not sure,False but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,False but I am not sure,True but I am not sure,True but I am not sure,True but I am not sure,method to find the concentration of solute in a given solution by measuring the potential between two electrodes, study of the current response of a chemical under an applied potential difference. ,nil
18,19,2022-08-10 17:55:17.800,2022-08-12 19:00:21.877,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,True but I am not sure,"False, I am confident","False, I am confident",False but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident",True but I am not sure,False but I am not sure,Potentiometry is simply measuring the potential difference across 2 electrodes.,Voltammetry is when voltage is applied to induce oxidation or reduction.,
19,20,2022-08-11 13:03:13.757,2022-08-11 13:05:43.303,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,True but I am not sure,I have no idea,I have no idea,True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","False, I am confident",False but I am not sure,I have no idea,i don't remember haha,i don't remember haha,NIL
20,21,2022-08-09 02:10:06.903,2022-08-09 02:28:57.837,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Agree,True but I am not sure,False but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,"False, I am confident",False but I am not sure,True but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,"Reaction at electrodes occur spontaneously, generating a voltage to be measured.",Voltage is applied and current flow is measured.,-
21,22,2022-08-09 13:55:49.287,2022-08-09 14:04:08.103,Submitted,Yes,No answer,in Chemistry teaching labs,No answer,No answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,False but I am not sure,True but I am not sure,I have no idea,I have no idea,True but I am not sure,I have no idea,I have no idea,False but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,potentiometry measures the concentration of an unknown solution by comparing the potential between the unknown with a known standard.,voltammetry records how the flow of current in a solution changes as voltage is applied to it.,.
22,23,2022-08-09 07:53:27.377,2022-08-09 08:03:11.550,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,in other University modules,No answer,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,True but I am not sure,True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident",False but I am not sure,I have no idea,"False, I am confident",False but I am not sure,I have no idea,False but I am not sure,Potentiometry allows us to determine the concentration of the solute present in the solution by titration and measuring the potential produced from the redox reaction that occurs.,Voltammetry helps to measure the current in response to the applied potential.,"Electrochemistry can get tedious and confusing as I study in depth about them, there is a lot of memorizing involved which I am afraid I might not be able to get everything into my brain before the test."
23,24,2022-08-09 12:35:29.513,2022-08-09 12:40:12.813,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,True but I am not sure,False but I am not sure,"False, I am confident",I have no idea,True but I am not sure,True but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,Potentiometry is the study of the potential/current of the solution with ions using electrodes and a potentiometer.,Voltammetry is the study of the voltage of a solution containing ions using a voltmeter. ,
25,26,2022-08-09 22:00:51.610,2022-08-11 21:06:31.530,Submitted,Yes,No answer,No answer,in other University modules,No answer,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,False but I am not sure,False but I am not sure,"True, I am confident",False but I am not sure,"False, I am confident",I have no idea,False but I am not sure,"False, I am confident",False but I am not sure,True but I am not sure,"False, I am confident",the use of electrode to measure voltage that provide chemical information,Measure current at different applied potential,-
26,27,2022-08-10 13:59:04.373,2022-08-10 14:10:40.570,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,True but I am not sure,True but I am not sure,False but I am not sure,"False, I am confident",True but I am not sure,False but I am not sure,True but I am not sure,"False, I am confident","False, I am confident",I have no idea,"False, I am confident","Potentiometry allows us to analyse the chemical solutions used, to measure the emf, potential difference across the terminals, find the concentration of the solutions. ",Change in currents in the solutions after applying different potential differences.,I will try my best! 
27,28,2022-08-09 14:57:30.267,2022-08-09 15:03:11.307,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,"True, I am confident","False, I am confident","False, I am confident","False, I am confident","True, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident","True, I am confident","False, I am confident",I'm not sure,I'm not sure LOL,Wow!
28,29,2022-08-09 10:49:01.343,2022-08-09 10:52:53.927,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,"True, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,I have no idea,"False, I am confident",I have no idea,True but I am not sure,False but I am not sure,It is a way to measure potential at zero current,It is a way to measure analyte concentration,I only have recollection pertaining to this topic from cm2192
29,30,2022-08-12 14:12:55.407,2022-08-12 14:18:19.300,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,"True, I am confident","True, I am confident",False but I am not sure,False but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,"False, I am confident",I have no idea,"True, I am confident",False but I am not sure,using electrochemistry to find the concentration of a solute in an unknown solution,how varying potential will affect the current flowing through the system,nil
30,31,2022-08-11 15:03:06.177,2022-08-11 15:20:34.430,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,in other University modules,No answer,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,True but I am not sure,True but I am not sure,"False, I am confident",False but I am not sure,True but I am not sure,False but I am not sure,Potentiometry measures the change in potentials of the cathode and anode to determine the concentration of reactants.,"When different potentials are applied, the different currents are recorded and used to analyse the reduction and oxidation processes.",-
31,32,2022-08-09 12:35:10.640,2022-08-09 12:41:49.430,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,True but I am not sure,"False, I am confident",I have no idea,True but I am not sure,"False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",False but I am not sure,False but I am not sure,Measuring difference in potential between 2 electrodes,Measuring current flowing through a cell,-
32,33,2022-08-09 13:49:06.377,2022-08-09 14:21:17.663,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,True but I am not sure,True but I am not sure,False but I am not sure,True but I am not sure,"False, I am confident",I have no idea,True but I am not sure,True but I am not sure,False but I am not sure,True but I am not sure,True but I am not sure,Potentiometry involves the measuring of the potential between two electrodes.,Voltammetry involves the measuring of current induced when a potential is applied to the system. ,nil
33,34,2022-08-10 01:57:40.923,2022-08-10 02:07:20.590,Submitted,Yes,No answer,in Chemistry teaching labs,No answer,No answer,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,True but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident",False but I am not sure,"False, I am confident",potentiometry measures the potential difference between the two electrodes,the current is measured in voltammetry,not very sure about the differences between voltammetry and potentiometry
34,35,2022-08-09 17:36:14.457,2022-08-09 17:46:03.150,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,True but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,"True, I am confident",I have no idea,False but I am not sure,"False, I am confident",I have no idea,I have no idea,False but I am not sure,"It is a method using a voltmeter, often used to find the concentrations of solutes.",It is a technique where the current is measured while the potential difference is varied.,nil
35,36,2022-08-10 13:50:15.367,2022-08-10 14:07:37.507,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,True but I am not sure,False but I am not sure,"False, I am confident","True, I am confident","False, I am confident","False, I am confident",False but I am not sure,"False, I am confident","False, I am confident",False but I am not sure,"False, I am confident",Potentiometry can be used to determine the ion concentration of an unknown sample by first taking voltage measurements of known concentrations of analytes.,Voltammetry involves studying the current response of a sample under an applied potential difference.,How is electrochemistry used in the environmental chemistry field?
36,37,2022-08-11 13:15:49.063,2022-08-11 13:23:47.840,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,True but I am not sure,"True, I am confident",False but I am not sure,False but I am not sure,"False, I am confident","True, I am confident","False, I am confident","True, I am confident",False but I am not sure,True but I am not sure,"False, I am confident",potentiometry is the measurement of changes in potential difference due to changes in concentration of ions,voltammetry is the study of changes in current due to a chemical reaction when a potential over a range is applied. ,-
37,38,2022-08-09 01:46:15.290,2022-08-12 14:06:56.643,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,True but I am not sure,"False, I am confident",False but I am not sure,True but I am not sure,"True, I am confident",True but I am not sure,True but I am not sure,"False, I am confident","False, I am confident","True, I am confident","False, I am confident",I have no idea what it is.,I have no idea what this is,NIL. We shall see.
38,39,2022-08-09 22:49:18.923,2022-08-09 23:37:19.000,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Strongly Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,True but I am not sure,"True, I am confident",False but I am not sure,False but I am not sure,"True, I am confident",True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident",True but I am not sure,False but I am not sure,the measurement of electrical potential as a technique in chemical analysis.,Voltammetry is the study of current as a function of applied potential. ,Very unconfident about answers and unsure about real life use of electrochemistry
39,40,2022-08-10 14:16:21.087,2022-08-10 15:01:14.307,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,True but I am not sure,False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","True, I am confident",I have no idea,False but I am not sure,I have no idea,True but I am not sure,False but I am not sure,Determining the concentration of the analyte by using the potential differences between the two electrodes. ,It is when voltage is applied and the current of the system is measured to determine the property of the solution. ,N/A. 
40,41,2022-08-09 22:04:59.850,2022-08-09 22:14:30.707,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,"True, I am confident","False, I am confident",False but I am not sure,True but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","True, I am confident","False, I am confident",It is a method used to determine the concentration of a solute in the solution. ,Voltammetry looks at how the current measured varies with a changing potential.,nil
41,42,2022-08-09 08:40:44.807,2022-08-09 08:50:17.573,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,"True, I am confident","False, I am confident","True, I am confident","True, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",an electrochemical method that measures potential between two electrodes,an electrochemical method that measures current when potential is varied,
42,43,2022-08-10 23:40:08.227,2022-08-10 23:48:40.717,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True but I am not sure,I have no idea,False but I am not sure,False but I am not sure,True but I am not sure,True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident",True but I am not sure,I have no idea,Measurement of electrical potential.,Measurement of voltage due to a difference in potential.,I'm honestly not very sure about the terms without physics knowledge to help me differentiate a little. :')) Hope there will be clarifications in upcoming lectures.
43,44,2022-08-09 23:14:13.873,2022-08-09 23:28:23.830,Submitted,Yes,No answer,in Chemistry teaching labs,No answer,No answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,True but I am not sure,I have no idea,False but I am not sure,False but I am not sure,False but I am not sure,I have no idea,False but I am not sure,False but I am not sure,I have no idea,I have no idea,False but I am not sure,Potentiometric titration allows us to do titration without an indicator,There is cyclic voltammetry and linear sweep voltammetry,I might need a recap on electrochemistry
44,45,2022-08-09 12:36:39.570,2022-08-09 12:45:15.820,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,"True, I am confident","False, I am confident",False but I am not sure,"True, I am confident","True, I am confident","True, I am confident",False but I am not sure,"False, I am confident","False, I am confident","True, I am confident","True, I am confident","Potentiometry is the measuring of the difference in potential between 2 electrodes of a cell, and can be used to calculate concentrations of solutions.",Voltammetry is the measuring of current flowing through an analyte when the potential is varied.,NIL
