,Student Number,Start Time,Submit Time,Status,Q1,Q2,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q4.8,Q4.9,Q4.10,Q5,Q6,Q7.1,Q7.2,Q7.3,Q7.4,Q7.5,Q8,Q9
13,15,2022-09-22 13:56:15.133,2022-09-26 16:16:43.790,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,"True, I am confident",False but I am not sure,"True, I am confident",True but I am not sure,"False, I am confident",True but I am not sure,"False, I am confident","False, I am confident","False, I am confident",True but I am not sure,Measure potential at zero applied current ,Measure current over a given applied potential or range of potential ,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,"The project was by far the most effective teaching method in understanding electrochemistry  that I have encountered. 

It was a simple set-up, simple procedure and it allowed me to explore what occurs in electrochemical cells. The resources provided greatly deepened my understanding.

Only feedback to give is that not many students understand circuitry, so perhaps a primer on basic circuitry(battergy set-up etc) should be included as an appendix of a lecture or handout. 

The hands-on-tutorial was too short of a duration, perhaps a longer period would allow for a better experience. (1hr is too short) 

 ","Comment: Extremely enriching term on electrochemistry, lecture videos were brilliantly produced. Tutorials and lecture exercises give good application for what I have learnt. I have benefited greatly in my understanding on electrochemistry (relative to pass experience) through this module.
"
14,16,2022-09-21 16:26:23.520,2022-09-21 16:46:12.790,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,"False, I am confident",True but I am not sure,"True, I am confident",True but I am not sure,False but I am not sure,True but I am not sure,True but I am not sure,False but I am not sure,True but I am not sure,"True, I am confident","Measurement of potential when the current is zero, no flow of electron; no reaction",Measurement of current while controlling the potential,Neutral,Neutral,Disagree,Disagree,Neutral,"I feel like the hands-on tutorial session can be longer and maybe hold after a session of 1-2 tutorials when students are more comfortable with electrochemistry (or with potentiometry at least). As we were still adjusting to our timetable and lectures in the first few weeks of school, it was tough to absorb all the content and understand the concepts behind electrochemistry after only watching the first lecture. As for the project, it was a little too time-consuming and the weightage does not reflect the effort being put into doing it. We felt that ImageJ was also not the best software as there were some assumptions that had to be made when doing and compiling the experimental results, which resulted in some of us not being able to explain certain results confidently. Overall, I think the instructions for the project can be made clearer and marking rubrics can also be given to the students to have a better understanding of how the project will be graded. Also, I feel like the video component can be removed as it takes up quite a bit of time and effort to only achieve 3% of the total weightage for the project. 

Nonetheless, we were thankful that Dr Linda has extended the deadline for us. ",NIL
15,17,2022-09-20 16:08:25.387,2022-09-26 05:07:16.477,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,"True, I am confident","False, I am confident",False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",Potentiometry involves measuring the innate potential difference within a system of 2 electrodes in a cell without any additional input (charge/electrons) from external sources. It can also be used to measure the concentration of an analyte in a solution.,Voltammetry utilizes the introduction of electrons into a system to incur a change in the system in the form of a redox reaction and can be used to analyze and gain more information regarding the chemical environment within a system.,Agree,Agree,Neutral,Neutral,Agree,"Was quite a unique experience that I liked as it gave a more hands-on approach.

It was helpful that there were additional materials to conduct repeats as we needed to repeat the experiment a few times. But there were not enough filters. Would be nice to have more or to provide filter paper because the coffee filter broke a few times.","I would like some example questions and solutions. I am still, a bit lost in the specific concepts such as which knowing which equations to use."
16,18,2022-09-22 21:42:10.383,2022-09-22 21:47:09.157,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,False but I am not sure,False but I am not sure,"True, I am confident",False but I am not sure,False but I am not sure,True but I am not sure,"False, I am confident","False, I am confident","False, I am confident","True, I am confident", the change in the potential difference between 2 electrodes of a cell is. It determines the analyte concentration by a change in the concentration of ions.,electrochemical methods in which a specific voltage profile is applied to a working electrode as a function of time and the current produced by the system is measured.,Agree,Disagree,Disagree,Disagree,Neutral,nil,nil
17,19,2022-09-27 12:13:54.943,2022-09-27 12:21:16.113,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,"False, I am confident","False, I am confident","False, I am confident",False but I am not sure,False but I am not sure,"False, I am confident",I have no idea,"False, I am confident","False, I am confident",True but I am not sure,"In potentiometry, we measure the potential of the cell when the current is 0.","In voltammetry, we apply energy to drive the electrons.",Agree,Agree,Neutral,Disagree,Agree,"The project was quite difficult and tedious in the sense that there were a lot of reactions involved and factors to consider even though the experimental set up was easy. However, I did learn a lot and felt a sense of accomplishment when my water turned out clean. The tutorial was fun as well as it let us have a chance to explore our apparatus.",
18,20,2022-09-22 12:11:30.227,2022-09-22 12:16:58.513,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,"False, I am confident",False but I am not sure,True but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",Using electrochemical cell to determine the concentration of analyte while its concentration stays constant.,"Using an electrochemical cell to determine the concentration of an analyte, by controlling the potential difference applied to the cell.",Agree,Disagree,Disagree,Neutral,Neutral,The amount of time needed to complete the experiment was substantial. More time should be allocated to students so that we can better learn from our experiences,NIL
19,21,2022-09-20 22:32:21.597,2022-09-20 22:39:20.467,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,True but I am not sure,"False, I am confident",True but I am not sure,"False, I am confident",False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,"Doing measurement, negligible current flow.",Allow for current flow but only slight change in concentration of analyte,Agree,Neutral,Disagree,Disagree,Disagree,"Not enough resources for the project, like e.g measuring instruments and more coffee filter paper. Instructions were not very clear at first on how to carry out the project.",-
20,22,2022-09-21 13:37:19.053,2022-09-21 13:46:13.233,Submitted,Yes,No answer,in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,False but I am not sure,False but I am not sure,True but I am not sure,True but I am not sure,False but I am not sure,True but I am not sure,"False, I am confident","False, I am confident","False, I am confident",False but I am not sure,measure of electrochemical cell under static conditions,measure of current as voltage is applied across an electrochemical cell,Neutral,Neutral,Neutral,Neutral,Neutral,-,-
21,23,2022-09-22 11:11:34.480,2022-09-22 14:07:20.373,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,False but I am not sure,False but I am not sure,True but I am not sure,"False, I am confident",False but I am not sure,"False, I am confident",False but I am not sure,"False, I am confident",False but I am not sure,True but I am not sure,"Potentiometry set up does not involve the use of battery, which means that there is no/  current flow while measuring the potential from the redox reaction at the electrodes.",Voltammetry consist of 3 different types of electrodes and the potential applied varies over time while measuring the current that changes with respect to potential.,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"The hands-on tutorial and project allows me to better understand and also further enforce the concept, which makes learning electrochem more interesting and interactive. We were able to see the effect that we have learnt during the lecture in real life which makes it easier for us to remember and understand.",The concept might get a little confusing sometimes because there are a lot of terminology involved. It is overall still interesting to learn about the concepts.
22,24,2022-09-20 17:39:07.930,2022-09-20 17:46:09.040,Submitted,No,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,False but I am not sure,I have no idea,True but I am not sure,True but I am not sure,True but I am not sure,"True, I am confident",False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,"Potentiometry is when the concentration of the species is kept constant and current is kept at 0, while the potential, E is being measured. ",Voltammetry is when the potential is being controlled and the current is measured against the potential.,Agree,Neutral,Neutral,Neutral,Neutral,"I think it is quite difficult and maybe more guidance can be given, as some students have seniors to help them but some of us don't and it is quite time consuming to try to work everything out as we are taking about 5 modules together including 3242. It can be quite stressful too as it weighs quite heavily in our grades. ",
23,26,2022-09-23 21:33:12.400,2022-09-23 21:44:22.863,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Agree,True but I am not sure,True but I am not sure,True but I am not sure,"False, I am confident",False but I am not sure,False but I am not sure,False but I am not sure,"True, I am confident",False but I am not sure,True but I am not sure,Using potential to find concentration of the solution ,specific voltage profile is applied to a working electrode as a function of time .,Neutral,Neutral,Disagree,Disagree,Neutral,The hands-on tutorial and project is meaningful for student to see the reaction first hand. However students was facing a time constraint for the project. ,-
24,27,2022-09-20 18:19:37.833,2022-09-25 20:38:49.587,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,False but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,"True, I am confident",I have no idea,"False, I am confident","False, I am confident","False, I am confident",I have no idea,"Potentiometry finds out the potential between two electrodes using a voltmeter to determine the goal, concentrations of the analytes ","Varying the potential to find out what type of reactions occur, whether with stirring or no stirring. ",Agree,Agree,Strongly Disagree,Disagree,Neutral,"It was interesting to see the reactions, but i'm not 100% sure what is the exact reactions happening at the electrodes because there are many possibilities and many reactions occuring, unable to stick to one definite equation. 

cool experiment though to do, which makes us learn more rather than theory only. I would remember the concepts better doing this experiment ",Thank you for teaching us! 
25,28,2022-09-20 12:49:11.023,2022-09-20 12:53:52.770,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,"False, I am confident","False, I am confident","True, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","True, I am confident",A technique used to find the concentration of analyte in the solution via measuring of potential between two electrodes using a voltmeter.,Voltammetry involves observing how current changes affect the reaction as potential is varied.,Agree,Neutral,Neutral,Neutral,Neutral,"It was a bit time-consuming and tedious to carry out the experiment, notably the calibration curve part as a lot of trial and error was needed.",Nil
26,29,2022-09-21 10:05:00.077,2022-09-21 10:16:21.217,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,True but I am not sure,"True, I am confident","False, I am confident","False, I am confident","True, I am confident",True but I am not sure,"False, I am confident","False, I am confident","False, I am confident","True, I am confident",A technique that measures concentration of analyte by measuring cell potential,A technique used to determine analyte concentration and identify chemical characteristics of the reactions (through potential and current measured),Agree,Agree,Neutral,Strongly Agree,Neutral,Image J is inaccurate as it is highly dependent on the surrounding environment light. The limitation of setup (one jar) etc impose severe inaccuracy because the experiment done carried out every 25 minutes will capture different reading. It will be better to provide more apparatus and allow side by side comparison at the same start time.,I am so scared for finals for electrochemistry ><
27,30,2022-09-20 16:57:22.220,2022-09-20 17:02:28.710,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,"True, I am confident",False but I am not sure,"True, I am confident","False, I am confident","False, I am confident",I have no idea,I have no idea,"False, I am confident",False but I am not sure,True but I am not sure,find the concentration of a solute in solution by measuring current,study of the current response of a chemical under an applied potential difference,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,"instructions given were not clear enough, students were quite lost and spent a lot of time on the project",NIL
